==========================================================================================
  Sub 60016: Subscription 60016
  Folder: 60016-cisco-ios-xe-fib-oper_fib-oper-data
  50800 data points from 10 telemetry messages
==========================================================================================

  cisco.content.adjacency-table.adjacency-entry.address_info  (gauge, 190)
  ----------------------------------------------------------------------
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.55
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=2001:db8:30:0:8c56:10b9:adf4:8b9f
                1  |  value=2001:db8:30:0:d1f0:6561:d623:d67a
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::748f:83ff:fe13:9abf
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=0.0.0.0
                1  |  value=0.0.0.0
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.5
                1  |  value=227.0.0.0
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.55
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=2001:db8:30:0:8c56:10b9:adf4:8b9f
                1  |  value=2001:db8:30:0:d1f0:6561:d623:d67a
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::748f:83ff:fe13:9abf
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=0.0.0.0
                1  |  value=0.0.0.0
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.5
                1  |  value=227.0.0.0
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.55
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=2001:db8:30:0:8c56:10b9:adf4:8b9f
                1  |  value=2001:db8:30:0:d1f0:6561:d623:d67a
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::748f:83ff:fe13:9abf
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=0.0.0.0
                1  |  value=0.0.0.0
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.5
                1  |  value=227.0.0.0
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.55
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=2001:db8:30:0:8c56:10b9:adf4:8b9f
                1  |  value=2001:db8:30:0:d1f0:6561:d623:d67a
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::748f:83ff:fe13:9abf
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=0.0.0.0
                1  |  value=0.0.0.0
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.5
                1  |  value=227.0.0.0
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.55
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=2001:db8:30:0:8c56:10b9:adf4:8b9f
                1  |  value=2001:db8:30:0:d1f0:6561:d623:d67a
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::748f:83ff:fe13:9abf
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=0.0.0.0
                1  |  value=0.0.0.0
                1  |  value=225.0.0.0
                1  |  value=ff0e::
                1  |  value=10.1.1.3
                1  |  value=10.1.1.5
                1  |  value=227.0.0.0
                1  |  value=fe80::e75:bdff:feb1:db88
                1  |  value=fe80::be24:11ff:febe:bdfe
                1  |  value=ffff::
                1  |  value=225.0.0.0
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::
                1  |  value=227.0.0.0
                1  |  value=ffff::

  cisco.content.adjacency-table.adjacency-entry.connection-id  (gauge, 190)
  ----------------------------------------------------------------------
                0  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
                1  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
                1  |  (global)
                0  |  (global)
                1  |  (global)
                1  |  (global)
                0  |  (global)
                1  |  (global)
                1  |  (global)
                0  |  (global)
                1  |  (global)
                1  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
                1  |  (global)
                0  |  (global)
                0  |  (global)
                1  |  (global)
                0  |  (global)
                1  |  (global)
                1  |  (global)
                1  |  (global)
                1  |  (global)
                1  |  (global)
                1  |  (global)
                0  |  (global)
                0  |  (global)
                0  |  (global)
